#,dist(asec),prob.,link ref,link,identifier,typ,coord1 (ICRS J2000/2000),Mag U,Mag B,Mag V,Mag R,Mag I,spec. type,#bib,#not
3695,395.99,100,2018A&A...616A..10G,B,2MASS J02183198+5702270,*,02 18 31.9923759384 +57 02 27.095444484,~,~,16.545,~,15.400,F2.9V,3,0
3696,323.57,100,2010ApJS..186..191C,B,2MASS J02190648+5713182,*,02 19 06.4885686888 +57 13 18.240848004,~,~,16.794,~,15.3761,G3.2V,2,0
3697,568.81,100,2010ApJS..186..191C,B,2MASS J02191691+5717096,*,02 19 16.9238428488 +57 17 09.681148788,~,~,16.600,~,15.402,A9.3V,2,0
3698,434.90,60,2020A&A...633A..99C,B,2MASS J02184380+5701027,*,02 18 43.8075125112 +57 01 02.813332008,~,~,16.4404,~,15.422,F5.1V,4,0
3699,434.90,100,2010ApJS..186..191C,B,2MASS J02184380+5701027,*,02 18 43.8075125112 +57 01 02.813332008,~,~,16.4404,~,15.422,F5.1V,4,0
3700,434.90,100,2018A&A...616A..10G,B,2MASS J02184380+5701027,*,02 18 43.8075125112 +57 01 02.813332008,~,~,16.4404,~,15.422,F5.1V,4,0
3701,396.40,100,2010ApJS..186..191C,B,2MASS J02181164+5710088,*,02 18 11.6622140112 +57 10 08.772223440,~,~,16.537,~,15.415,F2.9V,3,0
3702,396.40,100,2018A&A...616A..10G,B,2MASS J02181164+5710088,*,02 18 11.6622140112 +57 10 08.772223440,~,~,16.537,~,15.415,F2.9V,3,0
3703,313.74,50,2020A&A...633A..99C,B,2MASS J02183148+5711515,*,02 18 31.4920515912 +57 11 51.548667756,~,~,16.4698,~,15.423,A7.0V,4,0
3704,313.74,100,2010ApJS..186..191C,B,2MASS J02183148+5711515,*,02 18 31.4920515912 +57 11 51.548667756,~,~,16.4698,~,15.423,A7.0V,4,0
3705,313.74,100,2018A&A...616A..10G,B,2MASS J02183148+5711515,*,02 18 31.4920515912 +57 11 51.548667756,~,~,16.4698,~,15.423,A7.0V,4,0
3706,565.23,100,2010ApJS..186..191C,B,2MASS J02175339+5711337,*,02 17 53.3949387336 +57 11 33.888081624,~,~,16.742,~,15.394,G2.3V,2,0
3707,213.69,100,2010ApJS..186..191C,B,2MASS J02184963+5711255,*,02 18 49.6414072608 +57 11 25.422899172,~,~,16.591,~,15.413,F3.0V,3,0
3708,213.69,100,2018A&A...616A..10G,B,2MASS J02184963+5711255,*,02 18 49.6414072608 +57 11 25.422899172,~,~,16.591,~,15.413,F3.0V,3,0
